('F1A2B3C4D5', '@9Y4FD', 'ritratto di utente'), 
('F1A2B3C4D5', '@I2U9D', 'ritratto di utente'), 
('F1A2B3C4D5', 'stadio', 'infrastruttura'), 
('F5E6G7H8I9', 'albero', 'vegetale'), 
('F5E6G7H8I9', 'gara di atletica', 'evento'), 
('F5E6G7H8I9', 'auto', 'veicolo'), 
('F9J0K1L2M3', '@3I6RB', 'ritratto di utente'), 
('F9J0K1L2M3', 'concerto', 'evento'), 
('F9J0K1L2M3', '@2V0HC', 'ritratto di utente'), 
('F9J0K1L2M3', 'cinema', 'intrattenimento'), 
('F9J0K1L2M3', '@S7X4L', 'ritratto di utente'), 
('F3N4O5P6Q7', 'albero', 'vegetale'), 
('F3N4O5P6Q7', '@4B8FO', 'ritratto di utente'), 
('F3N4O5P6Q7', '@Q2U9P', 'ritratto di utente'), 
('F7R8S9T0U1', '@6L1HS', 'ritratto di utente'), 
('F7R8S9T0U1', 'auto', 'veicolo'), 
('F1V2W3X4Y5', 'treno', 'veicolo'), 
('F1V2W3X4Y5', 'centro commericale', 'intrattenimento'), 
('F1V2W3X4Y5', 'cane', 'animale'), 
('F1V2W3X4Y5', '@Q0R8X', 'ritratto di utente'), 
('F5Z6A7B8C9', '@1Y9VB', 'ritratto di utente'), 
('F9D1E2F3G4', 'albero', 'vegetale'), 
('F9D1E2F3G4', '@N8Z3G', 'ritratto di utente'), 
('F4H5I6J7K8', '@9Y4FD', 'ritratto di utente'), 
('F4H5I6J7K8', '@O4A9Q', 'ritratto di utente'), 
('F4H5I6J7K8', '@N8Z3G', 'ritratto di utente'), 
('F4H5I6J7K8', 'cane', 'animale'), 
('F4H5I6J7K8', '@0X5IJ', 'ritratto di utente'), 
('F8L9M0N1O2', 'scuola', 'educazione'), 
('F8L9M0N1O2', '@N0T8M', 'ritratto di utente'), 
('F2P3Q4R5S6', 'bus', 'veicolo'), 
('F6T7U8V9W0', '@8W6HN', 'ritratto di utente'), 
('F6T7U8V9W0', '@2V0HC', 'ritratto di utente'), 
('F6T7U8V9W0', '@C9K1R', 'ritratto di utente'), 
('F6T7U8V9W0', '@Q2U9P', 'ritratto di utente'), 
('FXY21ZABC3', 'gatto', 'animale'), 
('FXY21ZABC3', '@I2U9D', 'ritratto di utente'), 
('FXY21ZABC3', 'paesaggio', 'natura'), 
('FXY21ZABC3', '@R4V9E', 'ritratto di utente'), 
('FDEFGHIJKL', '@F6R1Y', 'ritratto di utente'), 
('FDEFGHIJKL', '@Z5C1Q', 'ritratto di utente'), 
('FDEFGHIJKL', 'gara di atletica', 'evento'), 
('FDEFGHIJKL', 'cane', 'animale'), 
('FDEFGHIJKL', 'auto', 'veicolo'), 
('FMNOPQRSTU', '@P9B4G', 'ritratto di utente'), 
('FMNOPQRSTU', '@D4U8R', 'ritratto di utente'), 
('FUVWXYZ123', 'auto', 'veicolo'), 
('FUVWXYZ123', 'ritratto', 'foto'), 
('FUVWXYZ123', 'stadio', 'infrastruttura'), 
('F456789012', '@Q0R8X', 'ritratto di utente'), 
('F456789012', '@8W6HN', 'ritratto di utente'), 
('F456789012', 'edificio', 'infrastuttura'), 
('F456789012', '@7F4ZP', 'ritratto di utente'), 
('F456789012', '@X1L3E', 'ritratto di utente'), 
('F345678901', 'paesaggio', 'natura'), 
('F678901234', 'scuola', 'educazione'), 
('F678901234', '@4B8FO', 'ritratto di utente'), 
('F678901234', '@5H7KT', 'ritratto di utente'), 
('F678901234', '@8W6HN', 'ritratto di utente'), 
('F678901234', 'concerto', 'evento'), 
('F901234567', '@C9K1R', 'ritratto di utente'), 
('F901234567', 'università', 'educazione'), 
('F901234567', '@U3L6W', 'ritratto di utente'), 
('F901234567', '@7F4ZP', 'ritratto di utente'), 
('F234567890', '@Y5D1H', 'ritratto di utente'), 
('F234567890', '@F6R1Y', 'ritratto di utente'), 
('F234567890', '@Z1C3L', 'ritratto di utente'), 
('F234567890', '@9Y4FD', 'ritratto di utente'), 
('F678901ABC', 'gatto', 'animale'), 
('F678901ABC', '@E5I7K', 'ritratto di utente'), 
('F678901ABC', '@A6Q2M', 'ritratto di utente'),  
('F234567DEF', 'cane', 'animale'), 
('F234567DEF', 'centro commericale', 'intrattenimento'), 
('F234567DEF', 'casa', 'infrastuttura'), 
('F567890GHI', 'cane', 'animale'), 
('F567890GHI', 'auto', 'veicolo'), 
('F901234566', 'sconosciuto', 'sconosciuto'), 
('F23456789A', 'ritratto', 'foto'), 
('F23456789A', '@E5I7K', 'ritratto di utente'), 
('F56789CDEF', '@O4A9Q', 'ritratto di utente'), 
('F56789CDEF', 'concerto', 'evento'), 
('F56789CDEF', 'albero', 'vegetale'), 
('F89GHIJ0KL', 'spettacolo teatrale', 'evento'), 
('F89GHIJ0KL', '@X1L3E', 'ritratto di utente'), 
('F234KLMNOP', '@7S4NY', 'ritratto di utente'), 
('F234KLMNOP', '@3I6RB', 'ritratto di utente'), 
('FQRSTU1234', 'moto', 'veicolo'), 
('FQRSTU1234', '@U3L6W', 'ritratto di utente'), 
('FQRSTU1234', '@7F4ZP', 'ritratto di utente'), 
('FQRSTU1234', 'strada', 'infrastuttura'), 
('FU1234VWXY', 'pianta', 'vegetale'), 
('FU1234VWXY', '@Z1C3L', 'ritratto di utente'), 
('FCD2345EFG', 'pianta', 'vegetale'), 
('FCD2345EFG', '@7F4ZP', 'ritratto di utente'), 
('FCD2345EFG', 'dispositivo', 'elettronica'), 
('FCD2345EFG', '@6L1HS', 'ritratto di utente'), 
('FIJKLM6789', '@I2U9D', 'ritratto di utente'), 
('FIJKLM6789', 'casa', 'infrastuttura'), 
('FIJKLM6789', 'università', 'educazione'), 
('FPQRSTUWXY', 'moto', 'veicolo'), 
('FPQRSTUWXY', 'gara di atletica', 'evento'), 
('FXY123456H', '@1Y9VB', 'ritratto di utente'), 
('FXY123456H', 'albero', 'vegetale'), 
('FU1234567P', 'foto di gruppo', 'foto'), 
('FU1234567P', '@X1L3E', 'ritratto di utente'), 
('FU1234567P', '@V0M5P', 'ritratto di utente'), 
('FU1234567P', 'dispositivo', 'elettronica'), 
('FCD234567L', '@J2O8U', 'ritratto di utente'), 
('FCD234567L', '@4B8FO', 'ritratto di utente'),  
('FCD234567L', 'stadio', 'infrastruttura'), 
('FIJKLM901R', 'strada', 'infrastuttura'), 
('FPQRSTU325', '@U3L6W', 'ritratto di utente'), 
('FPQRSTU325', '@3T9XK', 'ritratto di utente'), 
('FPQRSTU325', 'gatto', 'animale'), 
('FXY1234561', '@H8P1W', 'ritratto di utente'), 
('FXY1234561', '@H9J3F', 'ritratto di utente'), 
('FXY1234561', 'edificio', 'infrastuttura'), 
('FU1234567N', 'selfie', 'foto'), 
('FU1234567N', 'negozio', 'infrastuttura'), 
('FU1234567N', '@V0M5P', 'ritratto di utente'), 
('FU1234567N', 'auto', 'veicolo'), 
('FCD234567S', '@4B8FO', 'ritratto di utente'), 
('FCD234567S', 'bus', 'veicolo'), 
('FIJKLM901W', 'scuola', 'educazione'), 
('FIJKLM901W', 'negozio', 'infrastuttura'), 
('FIJKLM901W', '@8W6HN', 'ritratto di utente'), 
('FIJKLM901W', 'discoteca', 'evento'), 
('FPQRSTU344', 'foto di gruppo', 'foto'), 
('FPQRSTU344', 'discoteca', 'evento'), 
('FPQRSTU344', '@X2P7G', 'ritratto di utente'), 
('FPQRSTU344', 'cinema', 'intrattenimento'), 
('FXY123456K', '@Y7A6Z', 'ritratto di utente'), 
('FXY123456K', '@Q2U9P', 'ritratto di utente'), 
('FXY123456K', '@X2P7G', 'ritratto di utente'), 
('FXY123456K', 'foto di gruppo', 'foto'), 
('FU1234567B', 'università', 'educazione'), 
('FCD234567A', 'casa', 'infrastuttura'), 
('FCD234567A', '@Z1C3L', 'ritratto di utente'), 
('FCD234567A', '@2D9C1', 'ritratto di utente'), 
('FIJKLM9018', 'scuola', 'educazione'), 
('FIJKLM9018', 'albero', 'vegetale'), 
('FIJKLM9018', '@C9K1R', 'ritratto di utente'), 
('FIJKLM9018', 'università', 'educazione'), 
('FPQRSTU34D', '@Z5C1Q', 'ritratto di utente'), 
('FPQRSTU34D', '@8A3XQ', 'ritratto di utente'), 
('FPQRSTU34D', 'dispositivo', 'elettronica'), 
('FXY1234563', 'centro commericale', 'intrattenimento'), 
('FXY1234563', 'ritratto', 'foto'), 
('FXY1234563', 'casa', 'infrastuttura'), 
('FU123U567Y', 'università', 'educazione'), 
('FU123U567Y', '@4B8FO', 'ritratto di utente'), 
('FU123U567Y', 'bus', 'veicolo'), 
('FU123U567Y', '@1A6ZF', 'ritratto di utente'), 
('FCD23O5678', '@Y5D1H', 'ritratto di utente'), 
('FCD23O5678', 'discoteca', 'evento'), 
('FIJKLM901O', 'centro commericale', 'intrattenimento'), 
('FPQRSTU345', 'gara di atletica', 'evento'), 
('FPQRSTU345', '@Z5C1Q', 'ritratto di utente'), 
('FXY1234567', '@1Y9VB', 'ritratto di utente'), 
('FXY1234567', 'gara di atletica', 'evento'), 
('FU1234567Y', '@L7O2W', 'ritratto di utente'), 
('FCD2345678', '@H8P1W', 'ritratto di utente'), 
('FCD2345678', '@5H7KT', 'ritratto di utente'), 
('FCD2345678', 'concerto', 'evento'), 
('FIJKLM9012', '@P9B4G', 'ritratto di utente'), 
('FIJKLM9012', 'discoteca', 'evento'), 
('FIJKLM9012', 'bus', 'veicolo'), 
('F1B2C3D4E9', 'scuola', 'educazione'), 
('F1B2C3D4E9', 'albero', 'vegetale'), 
('F1B2C3D4E9', 'cane', 'animale'), 
('F3L9M1N2O2', '@8A3XQ', 'ritratto di utente'), 
('F3L9M1N2O2', 'pianta', 'vegetale'), 
